City,Country,Latitude,Longitude
Altach,Oesterreich,,
Altstaetten,Schweiz,,
Arbon,Schweiz,,
Au,Schweiz,,
Balzers,Liechtenstein,,
Basel,Schweiz,,
Bregenz,Oesterreich,,
Buchs,Schweiz,,
Diepoldsau,Schweiz,,
Dornbirn,Oesterreich,,
Eichberg,Schweiz,,
Feldkirch,Oesterreich,,
Friedrichshafen,Deutschland,,
Gams,Schweiz,,
Haag,Schweiz,,
Heerbrugg,Schweiz,,
Koblach,Oesterreich,,
Konstanz,Deutschland,,
Kreuzlingen,Schweiz,,
Kriessern,Schweiz,,
Kuessaberg,Deutschland,,
Lindau,Deutschland,,
Loerrach,Deutschland,,
Lustenau,Oesterreich,,
Maeder,Oesterreich,,
Montlingen,Schweiz,,
Mulhouse,Frankreich,,
Oberriet,Schweiz,,
Rankweil,Oesterreich,,
Rheinfelden,Schweiz,,
Romanshorn,Schweiz,,
Rorschach,Schweiz,,
Rueti,Schweiz,,
Rueti,Liechtenstein,,
Sankt-Ludwig,Frankreich,,
Sankt-Gallen,Schweiz,,
Sargans,Schweiz,,
Schaan,Liechtenstein,,
Schaffhausen,Schweiz,,
Sevelen,Schweiz,,
Singen,Deutschland,,
St.Margrethen,Schweiz,,
Ueberlingen,Deutschland,,
Vaduz,Liechtenstein,,
Waldshut-Tiengen,Deutschland,,
Weil-am-Rhein,Deutschland,,
Widnau,Schweiz,,
Mailand,Italien,,
Como,Italien,,
